,Ano,Mês,Município,Produto,Unidade de Medida,Preço médio
0,2018,12,ABAETETUBA,ETANOL HIDRATADO,R$/l,4.65
1,2018,12,ABAETETUBA,GASOLINA COMUM,R$/l,4.955
2,2018,12,ABAETETUBA,GLP,R$/13Kg,70.667
3,2018,12,ABAETETUBA,ÓLEO DIESEL,R$/l,4.088
4,2018,12,ABAETETUBA,ÓLEO DIESEL S10,R$/l,4.12
5,2018,12,ACAILANDIA,ETANOL HIDRATADO,R$/l,3.524
6,2018,12,ACAILANDIA,GASOLINA COMUM,R$/l,4.189
7,2018,12,ACAILANDIA,GLP,R$/13Kg,74.0
8,2018,12,ACAILANDIA,ÓLEO DIESEL,R$/l,3.538
9,2018,12,ACAILANDIA,ÓLEO DIESEL S10,R$/l,3.601
10,2018,12,ADAMANTINA,ETANOL HIDRATADO,R$/l,2.599
11,2018,12,ADAMANTINA,GASOLINA COMUM,R$/l,4.132
12,2018,12,ADAMANTINA,GLP,R$/13Kg,68.95
13,2018,12,ADAMANTINA,ÓLEO DIESEL,R$/l,3.302
14,2018,12,ADAMANTINA,ÓLEO DIESEL S10,R$/l,3.454
15,2018,12,AGUAS LINDAS DE GOIAS,ETANOL HIDRATADO,R$/l,3.031
16,2018,12,AGUAS LINDAS DE GOIAS,GASOLINA COMUM,R$/l,4.531
17,2018,12,AGUAS LINDAS DE GOIAS,GLP,R$/13Kg,60.75
18,2018,12,AGUAS LINDAS DE GOIAS,ÓLEO DIESEL,R$/l,3.764
19,2018,12,AGUAS LINDAS DE GOIAS,ÓLEO DIESEL S10,R$/l,3.841
20,2018,12,ALAGOINHAS,ETANOL HIDRATADO,R$/l,3.22
21,2018,12,ALAGOINHAS,GASOLINA COMUM,R$/l,4.377
22,2018,12,ALAGOINHAS,GLP,R$/13Kg,65.667
23,2018,12,ALAGOINHAS,ÓLEO DIESEL,R$/l,3.308
24,2018,12,ALAGOINHAS,ÓLEO DIESEL S10,R$/l,3.453
25,2018,12,ALEGRETE,ETANOL HIDRATADO,R$/l,4.14
26,2018,12,ALEGRETE,GASOLINA COMUM,R$/l,4.742
27,2018,12,ALEGRETE,GLP,R$/13Kg,73.143
28,2018,12,ALEGRETE,ÓLEO DIESEL,R$/l,3.478
29,2018,12,ALEGRETE,ÓLEO DIESEL S10,R$/l,3.509
30,2018,12,ALENQUER,GASOLINA COMUM,R$/l,4.598
31,2018,12,ALENQUER,GLP,R$/13Kg,83.0
32,2018,12,ALENQUER,ÓLEO DIESEL,R$/l,3.863
33,2018,12,ALENQUER,ÓLEO DIESEL S10,R$/l,4.1
34,2018,12,ALFENAS,ETANOL HIDRATADO,R$/l,2.943
35,2018,12,ALFENAS,GASOLINA COMUM,R$/l,4.634
36,2018,12,ALFENAS,GLP,R$/13Kg,66.0
37,2018,12,ALFENAS,ÓLEO DIESEL,R$/l,3.652
38,2018,12,ALFENAS,ÓLEO DIESEL S10,R$/l,3.725
39,2018,12,ALTA FLORESTA,ETANOL HIDRATADO,R$/l,3.129
40,2018,12,ALTA FLORESTA,GASOLINA COMUM,R$/l,4.741
