,Ano,Mês,Município,Variância,Variação Absoluta
0,2018,12,ABAETETUBA,1108.1908,66.579
1,2018,12,ACAILANDIA,1241.7167,70.476
2,2018,12,ADAMANTINA,1100.6138,66.351
3,2018,12,AGUAS LINDAS DE GOIAS,832.8707,57.719
4,2018,12,ALAGOINHAS,974.907,62.447
5,2018,12,ALEGRETE,1213.3031,69.665
6,2018,12,ALFENAS,994.0463,63.057
7,2018,12,ALTA FLORESTA,2654.2073,103.038
8,2018,12,ALTAMIRA,1919.2723,87.619
9,2018,12,ALVORADA,1067.7537,65.353
10,2018,12,AMERICANA,986.117,62.805
11,2018,12,AMPARO,1209.6136,69.559
12,2018,12,ANANINDEUA,1228.0469,70.087
13,2018,12,ANAPOLIS,1251.3198,70.748
14,2018,12,ANGRA DOS REIS,1141.1222,67.561
15,2018,12,APARECIDA DE GOIANIA,1197.506,69.21
16,2018,12,APUCARANA,1010.6041,63.58
17,2018,12,ARACAJU,1141.2235,67.564
18,2018,12,ARACATUBA,1003.21063,63.347
19,2018,12,ARACRUZ,841.60913,58.021
20,2018,12,ARAGUAINA,1280.1726,71.559
21,2018,12,ARAGUARI,1262.1322,71.053
22,2018,12,ARAPIRACA,950.4889,61.66
23,2018,12,ARAPONGAS,1143.488,67.631
24,2018,12,ARARANGUA,1041.7079,64.551
25,2018,12,ARARAQUARA,1415.0763,75.235
26,2018,12,ARARAS,1137.9153,67.466
27,2018,12,ARARIPINA,1166.8373,68.318
28,2018,12,ARARUAMA,713.9317,53.439
29,2018,12,ARAUCARIA,971.72473,62.345
30,2018,12,ARAXA,1043.2577,64.599
31,2018,12,ARCOVERDE,1112.4893,66.708
32,2018,12,ARIQUEMES,1318.7065,72.628
33,2018,12,ASSIS,1023.29614,63.978
34,2018,12,ASSIS CHATEAUBRIAND,1685.8414,82.118
35,2018,12,ATIBAIA,1101.8749,66.389
36,2018,12,AVARE,954.9954,61.806
37,2018,12,BAGE,1210.6224,69.588
38,2018,12,BALNEARIO CAMBORIU,1285.2583,71.701
39,2018,12,BALSAS,1653.7643,81.333
40,2018,12,BARBACENA,1058.6238,65.073
41,2018,12,BARRA DO PIRAI,1204.923,69.424
42,2018,12,BARRA MANSA,1170.5978,68.428
43,2018,12,BARREIRAS,1108.6237,66.592
44,2018,12,BARRETOS,1015.53754,63.735
45,2018,12,BARUERI,1074.0367,65.545
46,2018,12,BAURU,1025.3445,64.042
47,2018,12,BAYEUX,1122.317,67.002
48,2018,12,BEBEDOURO,1091.8398,66.086
49,2018,12,BELEM,1060.7723,65.139
50,2018,12,BELFORD ROXO,981.8822,62.67
51,2018,12,BELO HORIZONTE,965.65564,62.15
52,2018,12,BELO JARDIM,952.926,61.739
53,2018,12,BENTO GONCALVES,1120.04,66.934
54,2018,12,BETIM,1139.6364,67.517
55,2018,12,BIGUACU,956.5412,61.856
56,2018,12,BIRIGUI,986.65094,62.822
57,2018,12,BLUMENAU,1335.9756,73.102
58,2018,12,BOA VISTA,1631.756,80.79
59,2018,12,BOM DESPACHO,1479.9025,76.939
60,2018,12,BOTUCATU,955.9536,61.837
61,2018,12,BRAGANCA,1425.4778,75.511
62,2018,12,BRAGANCA PAULISTA,929.6706,60.981
63,2018,12,BRASILIA,1217.1377,69.775
64,2018,12,BRUMADO,788.5987,56.164
65,2018,12,BRUSQUE,1057.648,65.043
66,2018,12,CABEDELO,1122.652,67.012
67,2018,12,CABO DE SANTO AGOSTINHO,957.6549,61.892
68,2018,12,CABO FRIO,829.6416,57.607
69,2018,12,CACADOR,1354.3136,73.602
70,2018,12,CACAPAVA,964.13354,62.101
71,2018,12,CACERES,1550.43,78.751
72,2018,12,CACHOEIRA DO SUL,832.2648,57.698
73,2018,12,CACHOEIRINHA,1026.6898,64.084
74,2018,12,CACHOEIRO DE ITAPEMIRIM,976.21875,62.489
75,2018,12,CACOAL,1661.9482,81.534
76,2018,12,CAETITE,827.3389,57.527
77,2018,12,CAICO,993.5104,63.04
78,2018,12,CALDAS NOVAS,979.5648,62.596
79,2018,12,CAMACARI,863.155,58.759
80,2018,12,CAMBE,1157.6666,68.049
81,2018,12,CAMETA,1362.8649,73.834
82,2018,12,CAMPINA GRANDE,968.4544,62.24
83,2018,12,CAMPINAS,1068.4727,65.375
84,2018,12,CAMPO BELO,1117.1638,66.848
85,2018,12,CAMPO GRANDE,1099.7845,66.326
86,2018,12,CAMPO LARGO,859.6624,58.64
87,2018,12,CAMPO MOURAO,1379.9739,74.296
88,2018,12,CAMPOS DOS GOYTACAZES,964.69257,62.119
89,2018,12,CANINDE,969.4194,62.271
